,Cluster,Word_Type,Weights
729,10,unapproved,1.3393574655785133e-05
730,13,use,0.0011429183706269
731,10,fauci,0.000247781131132
732,10,wuhan,9.375502259049592e-05
733,7,lab,0.0001227744343446
734,7,humor,5.134203618050967e-05
735,18,absolutely,0.0001160776470168
736,10,screenshot,0.0001227744343446
737,7,amusing,2.232262442630855e-06
738,7,editorial,2.901941175420112e-05
739,7,comment,0.0001607228958694
740,18,actual,0.0004643105880672
741,7,revenue,4.687751129524796e-05
742,7,museums,8.92904977052342e-06
743,7,earned,2.0090361983677695e-05
744,12,income,8.036144793471079e-05
745,11,merchandising,4.46452488526171e-06
746,7,licensing,6.6967873278925655e-06
747,7,education,0.0001049163348036
748,13,products,5.580656106577138e-05
749,7,account,0.0020001071485972
750,7,donations,2.0090361983677695e-05
751,7,individuals,0.0002343875564762
752,7,patrons,6.6967873278925655e-06
753,12,wealthy,4.464524885261711e-05
754,7,donors,6.6967873278925655e-06
755,3,significant,0.0001473293212136
756,18,amount,0.0001540261085415
757,10,gam,2.232262442630855e-06
758,7,promised,1.5625837098415986e-05
759,7,share,8.036144793471079e-05
760,7,revenues,1.1161312213154276e-05
761,7,link,0.0006205689590513
762,13,given,0.000453149275854
763,7,information,0.0014018608139721
764,7,announcement,3.571619908209368e-05
765,3,obvious,6.47356108362948e-05
766,7,listed,6.696787327892565e-05
767,7,profile,5.357429862314053e-05
768,1,goes,0.0001138453845741
769,6,misrepresents,0.0001049163348036
770,7,ownership,3.571619908209368e-05
771,12,washington,0.0001517938460988
772,7,painting,6.6967873278925655e-06
773,18,owned,8.259371037734164e-05
774,12,global,0.0001584906334267
775,12,art,3.125167419683197e-05
776,12,museum,8.92904977052342e-06
777,12,cleveland,4.687751129524796e-05
778,7,april,7.143239816418736e-05
779,18,fool's,6.6967873278925655e-06
780,7,case,0.0003571619908209
781,1,shows,0.0004754719002803
782,7,add,9.375502259049592e-05
783,3,rather,0.0002098326696073
784,7,contribute,0.0001138453845741
785,3,least,0.0002031358822794
786,7,verified,0.0002768005428862
787,13,cdc,0.0008996017643802
788,3,initially,3.571619908209368e-05
789,13,recommend,3.794846152472454e-05
790,13,general,0.0003013554297551
791,7,updated,6.47356108362948e-05
792,18,its,0.0009955890494133
793,7,guidance,0.0001049163348036
794,10,masking,0.000102684072361
795,7,included,0.0001495615836562
796,3,depict,1.1161312213154276e-05
797,7,trans,0.0001517938460988
798,7,man,0.000223226244263
799,7,competing,2.2322624426308556e-05
800,12,girls,7.143239816418736e-05
801,12,sports,0.0001071485972462
802,18,then,0.0003660910405914
803,1,depicts,2.2322624426308556e-05
804,7,argument,5.580656106577138e-05
